,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
97,Wed Aug 01 22:24:59 +0000 2018,1.0,0.0,BBC,0.0,"RT @dontbrexitfixit: The @BBC is publicly funded by us, its alleged 'journalists' are paid for by us. It's duty is to inform us, give us ba…",0.0,98
98,Wed Aug 01 22:24:49 +0000 2018,0.584,0.069,BBC,0.346,"@BBC LITERALLY IN TEARS, LUMPSSSSS IN THROAT, CANT EVEN TALK, MOVED BEYOND MEASURE! TO GOD BE THE GLORY! SWEET LORD!",0.8213,99
99,Wed Aug 01 22:24:30 +0000 2018,1.0,0.0,BBC,0.0,#visualizacion de datos sobre #mapas..#migraciones #cambioclimatico #incendiosforestales #iiff via @bbc El proyecto… https://t.co/2vUQqodzu6,0.0,100
100,Wed Aug 01 22:24:14 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,101
101,Wed Aug 01 22:24:09 +0000 2018,0.701,0.187,BBC,0.112,RT @gturner1969: #WhyIJoinedTwitter to highlight #Toxictories destructive policies and campaign for an independent Scotland. Cos @BBC defin…,-0.3818,102
102,Wed Aug 01 22:23:46 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,103
103,Wed Aug 01 22:23:18 +0000 2018,1.0,0.0,BBC,0.0,@Scientists4EU @inductivestep @evilrobster @TomNwainwright @TheCanaryUK @TheMendozaWoman @Dis_PPL_Protest… https://t.co/OHCC813Lx2,0.0,104
104,Wed Aug 01 22:22:55 +0000 2018,1.0,0.0,BBC,0.0,RT @LFdSP2017: @WillBlackWriter Our @BBCNewsnight is platforming &amp; normalising Robinson as the UK's answer to Nelson Mandela - a political…,0.0,105
105,Wed Aug 01 22:22:41 +0000 2018,1.0,0.0,CBS,0.0,@Cernovich @OANN @GOA @infowars @JackPosobiec @joerogan @DRUDGE @Reuters @LucienGreaves @POTUS @CraigRSawyer  @ABC… https://t.co/JfX6FuSYkO,0.0,1
106,Wed Aug 01 22:22:36 +0000 2018,0.814,0.0,CBS,0.186,"RT @S_for_Shadows: I saw them! Our busses, the proof of this fandom's passion, are driving across London!!
#SaveShadowhunters
#Shadowhunter…",0.5962,2
107,Wed Aug 01 22:22:29 +0000 2018,0.73,0.18,CBS,0.09,"RT @5Strat: Dear @AP @UPI @ABCNews @CBS @NBC @NewsHour and all other #FakeNews , How many pulitzers did you lose not being truthful? How ma…",-0.3777,3
108,Wed Aug 01 22:22:28 +0000 2018,1.0,0.0,CBS,0.0,@Cernovich @OANN @GOA @infowars @JackPosobiec @joerogan @DRUDGE @Reuters @LucienGreaves @POTUS @CraigRSawyer  @ABC… https://t.co/9dxwijK9TO,0.0,4
109,Wed Aug 01 22:22:23 +0000 2018,0.814,0.0,CBS,0.186,"RT @S_for_Shadows: I saw them! Our busses, the proof of this fandom's passion, are driving across London!!
#SaveShadowhunters
#Shadowhunter…",0.5962,5
110,Wed Aug 01 22:21:34 +0000 2018,1.0,0.0,CBS,0.0,@Cernovich @OANN @GOA @infowars @JackPosobiec @joerogan @DRUDGE @Reuters @LucienGreaves @POTUS @CraigRSawyer  @ABC… https://t.co/ISSaNk7FlX,0.0,6
111,Wed Aug 01 22:21:30 +0000 2018,1.0,0.0,CBS,0.0,@ISAACYASS @realDonaldTrump @restore_US_now @FoxNews @cnnbrk @WSJ @thehill @CBS @nbc @POTUS @AP @nytimes @CNN… https://t.co/fXgPPvDGde,0.0,7
